Id,Name,Created at,Updated at,Client,Info page url,Tourist map,Id [Scenes],Name [Scenes],Created at [Scenes],Updated at [Scenes],Thumbnail [Scenes],Sort number [Scenes],Activity [Scenes],Game reset [Scenes],Visibility [Scenes],Actions [Scenes],Credentials [Scenes],Sc enabled [Scenes],Room name [Scenes],Game [Scenes]
2,皇后街,2021年01月04日 17:09,2021年01月04日 17:09, - , - ,,"117,1583,1883","西門町智慧城市@皇后街(6號出口),西門聖誕節🎄@皇后街,智慧城市demo","2021年02月05日 09:58,2021年11月16日 05:06,2022年03月14日 22:59","2021年11月30日 13:17,2023年11月28日 09:38,2022年08月15日 18:10","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,https://api.lig.com.tw/ar_asset/iexqypbudsn8p61xzxlh3yrmatrz.png","4,1225,222"," - ,10, - ","false,false,false","1,1,1"," - , - , - "," - , - , - ","false,false,false"," - , - , - "," - , - , - "
3,西岸街,2021年01月04日 18:28,2021年01月04日 18:29, - , - ,,"38,1607","西門町智慧城市@西岸街(峨眉▶中華路),西門聖誕節🎄@西岸街","2021年01月04日 17:08,2021年11月26日 17:32","2021年11月30日 13:19,2023年11月28日 09:05","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg","4,1225"," - ,10","false,false","1,1"," - , - "," - , - ","false,false"," - , - "," - , - "
4,東岸街,2021年01月04日 18:30,2021年11月30日 17:33, - , - ,,"39,1606","西門町智慧城市@東岸街(峨眉▶西寧南路),西門聖誕節🎄@東岸街","2021年01月04日 17:08,2021年11月26日 17:32","2021年11月30日 13:19,2023年11月28日 09:05","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg","4,1225"," - ,10","false,false","1,1"," - , - "," - , - ","false,false"," - , - "," - , - "
5,中央廣場_後半,2021年01月04日 18:36,2021年01月21日 15:15, - , - ,,"115,1636","西門町智慧城市@中央廣場後段(漢中▶武昌),西門聖誕節🎄@中央廣場後段","2021年02月05日 09:49,2021年11月30日 14:47","2021年11月30日 13:19,2021年12月04日 19:48","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg","4,1225"," - ,10","false,false","1,1"," - , - "," - , - ","false,false"," - , - "," - , - "
6,傑克遜街,2021年01月05日 14:43,2021年01月05日 14:43, - , - ,,"41,1608","西門町智慧城市@傑克遜街(武昌▶中華),西門聖誕節🎄@傑克遜街","2021年01月04日 17:08,2021年11月26日 17:34","2021年11月30日 13:19,2021年12月04日 19:47","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg","4,1225"," - ,10","false,false","1,1"," - , - "," - , - ","false,false"," - , - "," - , - "
7,百老匯街,2021年01月05日 14:46,2021年01月05日 14:46, - , - ,,"42,1609","西門町智慧城市@百老匯街(武昌▶西寧南),西門聖誕節🎄@百老匯街","2021年01月04日 17:08,2021年11月26日 17:35","2021年11月30日 13:19,2021年12月04日 08:14","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg","4,1225"," - ,10","false,false","1,1"," - , - "," - , - ","false,false"," - , - "," - , - "
8,哈林街,2021年01月05日 15:08,2021年01月05日 15:08, - , - ,,"72,1036","西門町智慧城市@哈林街(漢中▶漢口),西門大嘻哈@哈林街(漢中▶漢口)","2021年01月14日 16:06,2021年08月11日 04:48","2021年11月30日 13:19,2021年10月31日 13:00","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/dj109aquzejpuqkcfkv5r7prs8si.jpg","4,5"," - , - ","false,false","1,1"," - , - "," - , - ","false,false"," - , - "," - , - "
9,力暘花蓮辦公室,2021年01月18日 13:19,2021年01月19日 18:44, - , - ,,78,力暘花蓮辦公室,2021年01月18日 13:21,2021年09月10日 08:15, - ,0, - ,false,1, - , - ,false, - , - 
10,吉米區,2021年01月21日 15:06,2021年01月21日 15:06, - , - ,,26,西門街頭主場@西門靖,2020年12月30日 17:09,2021年11月10日 17:16,https://api.lig.com.tw/ar_asset/otaukjq9478j8qia056a6ovylqk3.png,0, - ,false,1, - , - ,false, - , - 
11,中央廣場_前半,2021年01月21日 15:15,2021年01月21日 15:15, - , - ,,"116,1637,1665","西門町智慧城市@中央廣場前(漢中▶峨眉),西門聖誕節🎄@中央廣場前段,諸葛四郎_uniqlo","2021年02月05日 09:52,2021年11月30日 14:47,2021年12月20日 17:32","2021年11月30日 13:18,2023年11月28日 09:05,2022年08月17日 17:37","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,https://api.lig.com.tw/ar_asset/aq7558vhtyllg5m81coh220radz1.png","4,1225,1226"," - ,10, - ","false,false,false","1,1,1"," - , - , - "," - , - , - ","false,false,false"," - , - , - "," - , - , - "
