Id,Id [Coordinate system],Name [Coordinate system],Created at [Coordinate system],Updated at [Coordinate system],Client [Coordinate system],Info page url [Coordinate system],Tourist map [Coordinate system],Id [Scene],Name [Scene],Created at [Scene],Updated at [Scene],Thumbnail [Scene],Sort number [Scene],Activity [Scene],Game reset [Scene],Visibility [Scene],Actions [Scene],Credentials [Scene],Sc enabled [Scene],Room name [Scene],Game [Scene]
4,4,東岸街,2021年01月04日 18:30,2021年11月30日 17:33, - , - ,<空>,39,西門町智慧城市@東岸街(峨眉▶西寧南路),2021年01月04日 17:08,2021年11月30日 13:19,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,4, - ,False,1, - , - ,False, - , - 
6,6,傑克遜街,2021年01月05日 14:43,2021年01月05日 14:43, - , - ,<空>,41,西門町智慧城市@傑克遜街(武昌▶中華),2021年01月04日 17:08,2021年11月30日 13:19,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,4, - ,False,1, - , - ,False, - , - 
9,9,力暘花蓮辦公室,2021年01月18日 13:19,2021年01月19日 18:44, - , - ,<空>,78,力暘花蓮辦公室,2021年01月18日 13:21,2021年09月10日 08:15, - ,0, - ,False,1, - , - ,False, - , - 
44,10,吉米區,2021年01月21日 15:06,2021年01月21日 15:06, - , - ,<空>,26,西門街頭主場@西門靖,2020年12月30日 17:09,2021年11月10日 17:16,https://api.lig.com.tw/ar_asset/otaukjq9478j8qia056a6ovylqk3.png,0, - ,False,1, - , - ,False, - , - 
46,11,中央廣場_前半,2021年01月21日 15:15,2021年01月21日 15:15, - , - ,<空>,116,西門町智慧城市@中央廣場前(漢中▶峨眉),2021年02月05日 09:52,2021年11月30日 13:18,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,4, - ,False,1, - , - ,False, - , - 
47,5,中央廣場_後半,2021年01月04日 18:36,2021年01月21日 15:15, - , - ,<空>,115,西門町智慧城市@中央廣場後段(漢中▶武昌),2021年02月05日 09:49,2021年11月30日 13:19,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,4, - ,False,1, - , - ,False, - , - 
48,8,哈林街,2021年01月05日 15:08,2021年01月05日 15:08, - , - ,<空>,72,西門町智慧城市@哈林街(漢中▶漢口),2021年01月14日 16:06,2021年11月30日 13:19,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,4, - ,False,1, - , - ,False, - , - 
63,7,百老匯街,2021年01月05日 14:46,2021年01月05日 14:46, - , - ,<空>,42,西門町智慧城市@百老匯街(武昌▶西寧南),2021年01月04日 17:08,2021年11月30日 13:19,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,4, - ,False,1, - , - ,False, - , - 
77,36,公版測試凱棋,2021年05月31日 09:39,2021年05月31日 09:39, - , - ,<空>,95,凱棋場景之貓貓暴走,2021年01月27日 09:49,2021年02月24日 18:00, - ,0, - ,False,1, - , - ,False, - , - 
89,37,Holopark Scene,2021年08月14日 14:28,2021年08月16日 01:14, - , - ,<空>,1189,HoloParkScene,2021年08月14日 14:04,2022年12月05日 16:29,https://api.lig.com.tw/ar_asset/yjzn6q8n1if1hw8bpmbaojtcdehw.png,0, - ,False,1, - , - ,False, - , - 
92,39,HoloPark室內區,2021年08月31日 19:27,2021年08月31日 19:27, - , - ,<空>,1103,Holopark室內區,2021年06月01日 11:48,2022年08月17日 17:37, - ,0, - ,False,1, - , - ,False, - , - 
94,40,智慧燈桿-重慶路館前東路南側,2021年09月03日 12:43,2021年09月03日 12:43, - , - ,<空>,1284,智慧燈桿-重慶路管前東路南側-181,2021年09月02日 20:47,2021年10月21日 07:55, - ,0, - ,False,1, - , - ,False, - , - 
95,41,智慧燈桿-重慶路館前東路北側,2021年09月03日 12:44,2021年09月03日 12:44, - , - ,<空>,1285,智慧燈桿-重慶路管前東路北側-666,2021年09月02日 21:01,2021年10月21日 07:55, - ,0, - ,False,1, - , - ,False, - , - 
96,43,智慧燈桿-重慶路中山路一段北側,2021年09月03日 12:44,2021年09月03日 12:44, - , - ,<空>,1286,智慧燈桿-重慶路中山路一段北側-322,2021年09月02日 21:07,2021年10月21日 07:55, - ,0, - ,False,1, - , - ,False, - , - 
97,44,智慧燈桿-重慶路中山路一段南側,2021年09月03日 12:44,2021年09月03日 12:44, - , - ,<空>,1287,智慧燈桿-重慶路中山路一段南側-297,2021年09月02日 21:10,2021年10月21日 07:55, - ,0, - ,False,1, - , - ,False, - , - 
104,50,內湖區康寧國小,2021年09月17日 07:35,2021年09月17日 07:35, - , - ,<空>,1345,康寧國小校門口,2021年09月17日 00:32,2021年09月17日 12:16, - ,0, - ,False,1, - , - ,False, - , - 
110,3,西岸街,2021年01月04日 18:28,2021年01月04日 18:29, - , - ,<空>,38,西門町智慧城市@西岸街(峨眉▶中華路),2021年01月04日 17:08,2021年11月30日 13:19,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,4, - ,False,1, - , - ,False, - , - 
