,db,filename,spec
0,scan_statistic,scandata.csv,https://cloud.lig.com.tw/admin/scan_record <br>選擇匯出的字段：scan_record 中的字段
1,light,light.csv,https://cloud.lig.com.tw/admin/light/export?model_name=light  <br>選擇匯出的字段：light 中的字段、關聯的 coordinate systems 中的字段
2,coordinate_system,coordinate_system.csv,https://cloud.lig.com.tw/admin/coordinate_system/export?model_name=coordinate_system  <br>選擇匯出的字段：coordinate systems 中的字段、關聯的 scenes 中的字段
3,ar_object,ar_object.csv,”https://cloud.lig.com.tw/admin/ar_object  <br>選擇匯出的字段：ar object 中的字段、關聯的 scene 中的字段“
4,obj_click_log,obj_click_log.csv,https://cloud.lig.com.tw/admin/obj_click_log  <br>選擇匯出的字段：obj click log 中的字段
5,scene,scene.csv,https://cloud.lig.com.tw/admin/scene/export?model_name=scene  <br>選擇匯出的字段：scene 中的字段、關聯的 coordinate systems 中的字段
6,deployment,deployment.csv,https://cloud.lig.com.tw/admin/deployment/export?model_name=deployment  <br>選擇匯出的字段：deployment 中的字段、關聯的 coordinate system 中的字段、關聯的 scene 中的字段
7,pj,pj_code.csv,code
8,coor_city,coor_city.csv,
9,field,field.csv,場域名稱
10,user,user.csv,user/Email/user_create_time
