Id,Location,Matrix,Created at,Updated at,Latitude,Longitude,Name,model,Property number,Group,Zone,Description,Status,Device sn,Scannable,Slot,Factory seq,Ipcam mac,Ipcam type,Id [Coordinate systems],Name [Coordinate systems],Created at [Coordinate systems],Updated at [Coordinate systems],Client [Coordinate systems],Info page url [Coordinate systems],Tourist map [Coordinate systems]
1,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2023年09月30日 16:29,2024年03月03日 09:33, - , - ,L-1,KM10, - ,0, - , - ,庫存,20201111001000X,true, - , - , - ,none,,,,,,,
2,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2023年09月30日 16:29,2024年03月03日 09:33, - , - ,L-2,KM10, - ,0, - , - ,庫存,20201111002000X,true, - , - , - ,none,,,,,,,
3,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2023年09月30日 16:29,2024年03月03日 09:33, - , - ,L-3,KM10, - ,0, - , - ,庫存,20201111003000X,true, - , - , - ,none,,,,,,,
7,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2023年09月30日 16:29,2024年03月03日 09:33, - , - ,L-7,KM10, - ,0, - , - ,庫存,20201111007000X,true, - , - , - ,none,,,,,,,
8,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2023年09月30日 16:29,2024年03月03日 09:33, - , - ,L-8,KM20, - ,0, - , - ,庫存,20200511008000X,true, - , - , - ,none,,,,,,,
69,"---
x: '0'
""y"": '2039'
z: '5532'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.5846852994181004'
","---
- 0.9999479326685318
- -0.010204506452026087
- 0.0
- 0.0
- 0.010204506452026087
- 0.9999479326685318
- 0.0
- 2039.0
- -0.0
- 0.0
- 1.0
- 5532.0
- 0.0
- 0.0
- 0.0
- 1.0
",2020年03月09日 09:39,2024年03月03日 09:33, - , - ,-,未識別,-69-,0, - , - ,庫存, - ,false,A1, - , - ,none,,,,,,,
81,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2020年03月11日 10:55,2024年03月03日 09:33, - , - ,L-81 (?)未找到, - ,L-01-L-0115,0,1, - ,庫存, - ,nil, - , - , - ,none,,,,,,,
82,"---
x: 10.0
""y"": 40.0
z: 100.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 10.0
- 0.0
- 1.0
- 0.0
- 40.0
- -0.0
- 0.0
- 1.0
- 100.0
- 0.0
- 0.0
- 0.0
- 1.0
",2020年03月27日 10:44,2024年03月03日 09:33,120.0,80.0,L-82(?) 未找到, - , - ,0,1, - ,庫存, - ,false, - , - , - ,none,,,,,,,
94,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2023年09月30日 16:29,2024年03月03日 09:33, - , - ,L-94,KM20, - ,0, - , - ,庫存,20200928094000X,true, - , - , - ,none,,,,,,,
106,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2020年07月15日 11:12,2024年03月03日 09:33, - , - ,L-106-華電,KM20,L-02-L-0095,0,1,clock error 2022/6/27 update time,租借,022002000106003,true, - , - , - ,none,,,,,,,
107,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2023年09月30日 16:29,2024年03月03日 09:33, - , - ,L-107,KM20, - ,0, - , - ,庫存,022002000107003,true, - , - , - ,none,,,,,,,
108,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2020年07月15日 11:16,2024年03月03日 09:33, - , - ,L-108,KM20,L-02-L-0103,0,1, - ,維修,022002000108003,true, - , - , - ,none,,,,,,,
112,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2020年04月09日 13:51,2024年03月03日 09:33, - , - ,L-112,KM20,L-01-L-0009,0,4, - ,租借, - ,true, - , - , - ,none,,,,,,,
113,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2023年09月30日 16:29,2024年03月03日 09:33, - , - ,L-113,KM20, - ,0, - , - ,庫存,022003000113003,false, - , - , - ,none,,,,,,,
