coor_id,coor_name,city,field,app,property_id,開始日期,結束日期,緯度 latitude,經度 longitude
352,GermanyDemo,,,,,,,,
351,觀光工廠-裕賀牛,高雄市,高雄觀光工廠,UniAR,,,,,
349,觀光工廠-宏裕行花枝丸,高雄市,高雄觀光工廠,UniAR,,,,,
347,觀光工廠-彪琥,高雄市,高雄觀光工廠,UniAR,,,,,
346,觀光工廠-滷博館,高雄市,高雄觀光工廠,UniAR,,,,,
345,觀光工廠-富樂夢,高雄市,高雄觀光工廠,UniAR,,,,,
344,海安商圈-地推,台南市,台南海安,UniAR,,,,,
343,佛光山的恐龍,台北市,佛光山,UniAR,,,,,
342,HenryDemo(5430),,,,,,,,
341,henrydemo(5414),,,,,,,,
340,CES2024-HARTi,美國,CES,UniAR,,,,,
339,海安商圈,台南市,台南海安,UniAR,,,,,
338,上聯車展-展場中間右,台北市,上聯車展,,,,,,
337,上聯車展-展場中間左,台北市,上聯車展,,,,,,
336,上聯車展服務區,台北市,上聯車展,,,,,,
335,上聯車展J區,台北市,上聯車展,,,,,,
334,小貓-960,,,,,,,,
333,上聯車展K區,台北市,上聯車展,,,,,,
332,鴻海DEMO(2008),,測試/DEMO,UniAR,,,,,
331,環保局-桃園,桃園市,桃園環保局,UniAR,,,,,
330,月津港-魚鱗巷-13,台南市,月津港,UniAR,,,,,
329,月津港-蔡和泉故居-10,台南市,月津港,UniAR,,,,,
328,月津港-大眾廟-7,台南市,月津港,UniAR,,,,,
327,月津港-王爺廟-6&14&15,台南市,月津港,UniAR,,,,,
326,月津港-赤兔製造所-11&12,台南市,月津港,UniAR,,,,,
325,月津港-造月工坊-8&17,台南市,月津港,UniAR,,,,,
324,月津港-一銀巷-9＆16,台南市,月津港,UniAR,,,,,
323,月津港-八角樓-2&18,台南市,月津港,UniAR,,,,,
322,月津港-永成戲院-5,台南市,月津港,UniAR,,,,,
321,月津港-永成戲院-虛擬展品,台南市,月津港,UniAR,,,,,
320,月津港-月之美術館(711)-1,台南市,月津港,UniAR,,,,,
319,月津港-觀光美食城-3&4,台南市,月津港,UniAR,,,,,
318,月津港-月津故事館,台南市,月津港,UniAR,,,,,
317,1.1.1-1985,,,,,,,,
316,HenryDemo(5127),,測試/DEMO,,,,,,
315,新北市政府-5,新北市,新北智慧觀光,新北光標,,,,,
314,板橋-府中-1,新北市,新北智慧觀光,新北光標,,,,,
313,環球購物demo,,測試/DEMO,,,,,,
312,DEMO(5394),,測試/DEMO,,,,,,
311,CES2024-Tutk,,測試/DEMO,,,,,,
310,貨櫃廣場,台北市,大稻埕,Niho,,,,25.04931678,121.5147978
309,國圖2,台北市,國圖,UniAR,,,,25.04252304,121.5094493
308,國圖1,台北市,國圖,UniAR,,,,25.04252304,121.5094493
307,諾奇(5230),,測試/DEMO,,,,,,
306,電腦教室2,台北市,,UniAR,,,,,
304,大稻埕-地下街Y13出口,台北市,大稻埕,Niho,396981930.0,,,25.04931678,121.5147978
303,大稻埕_迪化街-1店家,台北市,大稻埕,Niho,396981930.0,,,25.06291818,121.5092354
302,henrydemo(5392),測試/DEMO,測試/DEMO,,,,,,
300,測試4503,測試/DEMO,測試/DEMO,,,,,,
299,彥瑞DEMO(5531),台北市,測試/DEMO,lightenAR,270740329.0,,,25.06951613,121.5209608
298,Henry Demo(940),測試/DEMO,,,,,,,
297,星竹東,新竹縣,竹東元宇宙,UniAR,,2023/9/29,2023/12/20,24.73712145,121.0900608
296,綠能竹東_03_鎮公所,新竹縣,竹東元宇宙,UniAR,,2023/9/29,2023/12/20,24.73669269,121.0918697
295,綠能竹東_02_林業展示館,新竹縣,竹東元宇宙,UniAR,,2023/9/29,2023/12/20,24.73702043,121.0925683
294,綠能竹東_01_火車站,新竹縣,竹東元宇宙,UniAR,,2023/9/29,2023/12/20,24.73818434,121.0944816
293,綠能竹東_00_樹上,新竹縣,竹東元宇宙,UniAR,,2023/9/29,2023/12/20,24.73843579,121.0942144
292,5161坐標,測試/DEMO,,,,,,,
290,國圖-C影音區,台北市,國圖,UniAR,,,,25.04252304,121.5094493
289,國圖-創客區,台北市,國圖,UniAR,,,,25.04252304,121.5094493
288,國圖-圖書區,台北市,國圖,UniAR,,,,25.04252304,121.5094493
287,國圖-多功能教室,台北市,國圖,UniAR,,,,25.04252304,121.5094493
286,4858,測試/DEMO,,,,,,,
285,苗栗車站,台北市,苗栗智慧交通,尋光趣,,,,24.5696519,120.8228265
283,華陰街-太原路,台北市,大稻埕,Niho,396981930.0,,,25.05056305,121.5141401
282,杏子豬排 - 內部測試用,台北市,,六角美食通,,,,,
281,杏子豬排信義威秀店 門口,台北市,六角,六角美食通,,,,25.03548855,121.5671868
279,henry Test,測試/DEMO,,,,,,,
278,華英街-中,台北市,大稻埕,Niho,396981930.0,,,25.05056305,121.5141401
277,綠色方舟館-海底世界,桃園市,綠色方舟,lightenAR,270740329.0,,,25.00832985,121.0477662
276,桃園綠色方舟館-嘟嘟,桃園市,綠色方舟,lightenAR,270740329.0,,,25.00832985,121.0477662
275,大稻埕_迪化街-3,台北市,大稻埕,Niho,396981930.0,,,25.06291818,121.5092354
274,大稻埕_迪化街-2,台北市,大稻埕,Niho,396981930.0,,,25.05742569,121.5098176
273,大稻埕_迪化街-1,台北市,大稻埕,Niho,396981930.0,,,25.0538123,121.5101711
272,ATT新,台北市,信義區,lightenAR,270740329.0,,,25.03572553,121.5655961
270,信義第三區-2,台北市,信義區,lightenAR,270740329.0,,,,
269,大稻埕-迪化街-2,台北市,大稻埕,Niho,396981930.0,,,,
268,大稻埕_貨櫃市集-1貓(5126)+2貓(4963),台北市,大稻埕,Niho,396981930.0,,,25.06291818,121.5092354
267,大稻埕_貨櫃市集-3貓,台北市,大稻埕,Niho,396981930.0,,,25.06291818,121.5092354
266,苗栗車站,苗栗縣,,尋光趣,,,,,
265,和正豐回收機,新竹縣,,,,,,,
264,粽邪快問快答,台北市,粽邪展,lightenAR,270740329.0,,,25.09612204,121.5167489
261,信義第四區第二關,台北市,信義區,lightenAR,270740329.0,,,25.03621412,121.5668589
260,信義第二區第二關,台北市,信義區,lightenAR,270740329.0,,,25.03774552,121.5671504
259,信義第一區第三關,台北市,信義區,lightenAR,270740329.0,,,25.0392121,121.5670974
257,信義第一區第二關,台北市,信義區,lightenAR,270740329.0,,,25.03956163,121.5671999
256,銘傳招生4F,台北市,,lightenAR,,,,,
255,粽邪7樓快問快答第一組,台北市,粽邪展,lightenAR,270740329.0,,,25.09612204,121.5167489
252,965座標系,測試/DEMO,,,,,,,
251,殼上寫Henry,台北市,,,,,,,
249,茂林新威旅客中心-咖啡廳,高雄市,茂林,lightenAR,270740329.0,,,22.89076173,120.6230815
248,禮納里旅客服務中心-1F,屏東縣,茂林,lightenAR,270740329.0,,,22.69971876,120.6443028
247,禮納里旅客服務中心,屏東縣,茂林,lightenAR,270740329.0,,,22.69971876,120.6443028
246,茂林新威旅客中心2F,高雄市,茂林,lightenAR,270740329.0,,,22.89076173,120.6230815
245,茂林新威旅客中心,高雄市,茂林,lightenAR,270740329.0,,,22.89076173,120.6230815
244,0.0.0,測試/DEMO,,,,,,,
243,智慧城市展-高雄場,高雄市,,lightenAR,,,,,
242,智慧城市展,台北市,,,,,,,
239,互動地圖DEMO,測試/DEMO,,,,,,,
238,101,台北市,,,,,,,
237,att4fun,台北市,信義區,lightenAR,270740329.0,,,25.03572553,121.5655961
236,禮納里遊客服務中心-1F,屏東縣,茂林,lightenAR,270740329.0,,,22.69971876,120.6443028
235,禮納里遊客服務中心,屏東縣,茂林,lightenAR,270740329.0,,,22.69971876,120.6443028
234,茂林新威遊客中心2F,高雄市,茂林,lightenAR,270740329.0,,,22.89076173,120.6230815
233,新威遊客中心1F,高雄市,茂林,lightenAR,270740329.0,,,22.89076173,120.6230815
232,茂林新威遊客中心,高雄市,茂林,lightenAR,270740329.0,,,22.89076173,120.6230815
231,julia_Demo_Hank 辦公室,測試/DEMO,,,,,,,
230,茂林區座標系,高雄市,,,,,,,
224,acer展廳,新北市,acer,lightenAR,270740329.0,,,25.06070707,121.6473528
223,信義第四區第一關,台北市,信義區,lightenAR,270740329.0,,,25.03721453,121.5668862
222,信義第二區第一關,台北市,信義區,lightenAR,270740329.0,,,25.0389215,121.5671865
221,運營_燈會test,測試/DEMO,,,,,,,
219,mike測試,測試/DEMO,,,,,,,
218,23科技燈區,台北市,,lightenAR,,,,,
215,耶誕嘉年華元宇宙,台北市,,lightenAR,,,,,
214,耶誕嘉年華主舞台,台北市,,lightenAR,,,,,
213,台北通開發人員,台北市,,,,,,,
212,創業者年會,台北市,,,,,,,
211,demo002,測試/DEMO,,,,,,,
210,SunnyChen lightid=5469,測試/DEMO,,,,,,,
209,DEMO,測試/DEMO,,,,,,,
208,eliot coordinate sys. lightid=5520,測試/DEMO,,,,,,,
